"region","region_jpn","type","country","producer","producer_jpn","vintage","store_price","name","name_jpn","sort_order","general_region","aoc_order"
"Vallée de la Loire / Anjou & Saumur","ロワール河流域 / アンジュー＆ソミュール地区","5","1","Clos Rougeard","クロ・ルジャール","1995","23200","Saumur-Champigny les Poyaux","ソミュール・シャンピニィ・レ・ポヨー","3","8","101"
"Vallée de la Loire / Anjou & Saumur","ロワール河流域 / アンジュー＆ソミュール地区","5","1","Clos Rougeard","クロ・ルジャール","2001","13000","Saumur-Champigny les Poyaux","ソミュール・シャンピニィ・レ・ポヨー","4","8","101"
"Vallée de la Loire / Anjou & Saumur","ロワール河流域 / アンジュー＆ソミュール地区","5","1","Clos Rougeard","クロ・ルジャール","2000","25000","Saumur-Champigny le Bourg","ソミュール・シャンピニィ・ル・ブール","5","8","101"
"Vallée de la Loire / Anjou & Saumur","ロワール河流域 / アンジュー＆ソミュール地区","5","1","Dom. des Roche Neuvees","ドメーヌ・デ・ロッシュ・ヌーヴ","1996","15800","Saumur-Champigny Cuvée Marginale","ソミュール・シャンピニィ・キュヴェ・マルジナル","6","8","101"
"Vallée de la Loire / Anjou & Saumur","ロワール河流域 / アンジュー＆ソミュール地区","5","1","Dom. des Roche Neuvees","ドメーヌ・デ・ロッシュ・ヌーヴ","1997","15800","Saumur-Champigny Cuvée Marginale","ソミュール・シャンピニィ・キュヴェ・マルジナル","7","8","101"
"Vallée de la Loire / Anjou & Saumur","ロワール河流域 / アンジュー＆ソミュール地区","5","1","Dom. René Noël Legrand","ドメーヌ・ルネ・ノエル・ルグラン","2006","6800","Saumur-Champigny les Rogelins","ソミュール・シャンピニィ・レ・ロジュラン","8","8","101"
"Vallée de la Loire / Touraine","ロワール河流域 / トゥーレーヌ地区","5","1","Dom. Bel Air (Pierre Gautier)","ドメーヌ・べ・レール（ピエール・ゴティエ）","2002","8500","Bourgueil Grand Mont","ブルグイユ・グラン・モン","9","8","200"
"Vallée de la Loire / Touraine","ロワール河流域 / トゥーレーヌ地区","5","1","Dom. Yannick Amirault","ドメーヌ・ヤニック・アミロー","2005","7350","Bourgueil la Petite Cave","ブルグイユ・ラ・プティット・カーヴ","10","8","200"
"Vallée de la Loire / Touraine","ロワール河流域 / トゥーレーヌ地区","5","1","Dom. Yannick Amirault","ドメーヌ・ヤニック・アミロー","2004","7000","Bourgueil Tempête Dans Un Verre","ブルグイユ・タンペット・ダン・ザン・ヴェール","11","8","200"
"Vallée de la Loire / Touraine","ロワール河流域 / トゥーレーヌ地区","5","1","Dom. Yannick Amirault","ドメーヌ・ヤニック・アミロー","2005","6800","Sain Nicolas de Bourgueil la Mine","サン・ニコラ・ブルグイユ・ラ・ミーヌ","12","8","200"
